A1BG
NAT2
ADA
CDH2
AKT3
GAGE12F
RNA5-8SN5
RNA18SN5
RNA28SN5
TRY-GTA7-1
TRY-GTA5-4
TRA-AGC11-1
TRA-AGC8-1
TRF-GAA2-1
TRF-GAA1-4
TRH-GTG1-6
LINC02584
POU5F1P5
POU5F1P6
POU5F1P7
IRX4P1
MRT4
ZBTB11-AS1
MED6
NR2E3
NAALAD2
VN2R2P
VN2R3P
VN2R6P
VN2R7P
VN2R10P
VN2R11P
VN2R12P
VN2R13P
VN2R14P
VN2R15P
VN2R16P
VN2R18P
VN2R19P
VN2R20P
OTX2P1
DUXB
SNORD116-1
SNORD116-2
SNORD116-3
SNORD116-4
SNORD116-5
SNORD116-6
SNORD116-7
SNORD116-8
SNORD116-9
SNORD116-10
SNORD116-11
SNORD116-12
SNORD116-13
SNORD116-14
SNORD116-15
SNORD116-16
SNORD116-17
SNORD116-18
SNORD116-20
SNORD116-21
SNORD116-22
SNORD116-23
SNORD116-24
SNORD116-25
SNORD115-2
SNORD116-26
SNORD116-27
SNORD115-3
SNORD115-4
SNORD115-5
SNORD115-6
SNORD115-7
SNORD115-8
SNORD115-9
SNORD115-10
SNORD115-11
SNORD115-12
SNORD115-13
SNORD115-14
SNORD115-15
SNORD115-16
SNORD115-17
SNORD115-18
SNORD115-19
SNORD115-20
SNORD115-21
SNORD115-22
SNORD115-23
SNORD115-25
SNORD115-26
SNORD115-29
SNORD115-30
SNORD115-31
SNORD115-32
SNORD115-33
SNORD115-34
SNORD115-35
SNORD115-36
SNORD115-37
SNORD115-38
SNORD115-39
SNORD115-40
SNORD115-41
SNORD115-42
SNORD115-43
SNORD115-44
MIR675
SNORD116-28
SNORD116-29
SNORD115-48
AA1
AA2
PDZK1P1
SNORD115-24
SNORD115-27
SNORD115-28
SNORD115-45
SNORD115-47
HMGN1P3
HMGN1P4
STQTL6
STQTL7
STQTL8
DPPA4P3
UBE2D3P1
DDTL
TLX1NB
PTLS
PSNP3
NAALADL1
MCCD1P1
DDX39BP1
GBD2
GBD3
ZDHHC20P1
ZDHHC20P2
TMEM183AP1
CDKN2B-AS1
RPL35AP4
DDX39BP2
MCCD1P2
GUSBP17
SPG37
7-Feb
SHFM3
STUT2
APMR2
OCTN3
SIGLEC14
TRK-TTT3-4
TRV-CAC1-5
SPG38
NINJ2-AS1
JKAMPP1
ACOT8
ABI1
GNPDA1
MIMT1
KCNE3
ZBTB33
CDH12P3
CDH12P1
CDH12P4
SNHG8
GTF2IP4
GS1-600G8.3
CDH3
TANK
GXYLT1P1
CDC14BL
TTTY21B
TTTY1B
TTTY2B
TTTY8B
SKP1P3
TTTY7B
TTTY23B
TMX1P1
TMX1P2
FKBP6P1
IFITM3P5
IFITM3P3
HAVCR1P1
POM121C
SPDYE12
TMA16P1
TMA16P2
MRT9
MRT10
MRT11
PMS2P7
ZSCAN30
H2BW3P
GPCPD1P1
MCTS2
BRI3P3
GAGE8
ELF2P1
GNG5P3
GNG5P4
GNG5P5
ANKRD26P3
SRA1
HMGN2P17
TRNT1P1
TRNT1P2
SNORD119
SNORD121A
SNORD125
SNORD19B
SNORD105B
SNORD123
UCKL1-AS1
SNORD127
SNORD126
SNORD11B
SNORD12B
VEZTP1
SNORD111B
LIN28B-AS1
LINC00583
TMEM170B
FGF7P8
NRBF2P2
NRBF2P5
YBX2P1
YBX2P2
ANKRD39P1
KLF3P2
CRLF3P3
UFC1P1
FAM138E
GINGF4
EKD2
SNORD58C
SCARNA27
SNORA84
SNORA36C
SNORA38B
SNORA70B
SNORA70C
SNORA11B
SNORA11C
SNORA11D
TEC
HOTAIR
ZGLP1
HNRNPRP1
TIPINP1
TIPINP2
LOC100125409
FAM86JP
L1TD1P1
NUDT19P1
FMR1-AS1
MIR298
MIR300
VTRNA2-1
MIR509-2
MIR450B
MIR890
MIR891B
MIR888
MIR892B
MIR541
MIR875
MIR876
MIR147B
MIR744
MIR877
MIR665
MIR873
MIR374B
MIR301B
MIR216B
MIR920
MIR922
MIR924
MIR934
MIR935
MIR936
MIR938
MIR940
MIR941-1
MIR941-4
MIR942
MIR943
MIR708
MIR885
MIR543
MIR208B
MIR509-3
MIR937
MIR941-2
MIR944
MIR891A
MIR892A
MIR874
MIR889
MIR190B
MIR887
MIR760
MIR921
MIR933
MIR939
MIR941-3
MIR297
MIR365A
MIR365B
DEPDC1P2
LOC100126447
GJE1
LOC100126584
MAFD4
EJM4
CUX2P1
CUX2P2
LINC00322
SNAR-G1
SNAR-F
LEISA1
EGOT
GHRLOS
GAEC1
SNAR-A1
SNAR-A2
SNAR-A12
UBA5P1
GJA6P
VN2R21P
HLA-Y
MINAR2
IBTKP1
SLCO4A1-AS1
ATP5PBP8
RPL7P24
NUP50P4
BMI1P1
SPOPLP1
SMIM11P1
SLC66A2P2
HNRNPCP7
SELENOKP2
ST13P12
CDRT15P11
LOC100127917
DPPA3P5
SUMO2P6
RPS15AP14
MND1P1
KIAA1191P2
SOCS5P3
RPL15P16
HECW1-IT1
ATF4P4
PTTG1P2
LOC100127955
AGGF1P9
BCAS2P1
CCSER2P1
RPS3AP48
RPL7L1P16
KRT73-AS1
VN1R96P
VTI1BP3
STBD1P1
FUNDC2P4
FBLP1
TMEM69P1
C8orf88
CATSPER2P2
MED15P4
RPL15P5
RPL34P7
RPL18AP11
LOC100128002
RPL32P21
ARHGAP44-AS1
SPICP3
SUMO2P17
FAR1P1
ISCA1P4
HMGN1P26
WHSC1L2P
TULP3P1
ACTR3P3
PLEKHB2P1
DPPA2P3
WWTR1-AS1
